C�digo Barra,C�digo Reduzido,Descri��o,Unidade Medida,Categoria,Setor,Pre�o de Venda Unit�rio R$,Classificacao Fiscal / NCM,CST ICMS Sa�da,CEST,CFOP Estadual,Al�quota ICMS,Al�quota de PIS,CST PIS Sa�da,Al�quota de COFINS,CST COFINS Sa�da,Enviar para Balan�a,,,,,,,,,,
,,,,,,50,1200,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,1,0,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.031.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,-,,,,,
,,,,,,77,2600,1602.31.00 - PREPARACOES ALIMENTICIAS E CONSERVAS,DE PERU,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,
-,105,DOCES E BALAS,UN,BOMBONIERE,02 REVENDA,0,500,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
,,,,,,42,9400,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,72,3400,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,72,6100,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
-,115,BALAS E DOCES,UN,BOMBONIERE,02 REVENDA,0,1500,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
,,,,,,47,200,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.01,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,51,4100,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.01,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
